,location,new_cases_per_million,date
4835,Canada,8.479,2020-06-17
4836,Canada,10.227,2020-06-18
4837,Canada,9.724,2020-06-19
4838,Canada,10.837,2020-06-20
4839,Canada,10.333,2020-06-21
4840,Canada,8.426,2020-06-22
4841,Canada,8.24,2020-06-23
4842,Canada,8.638,2020-06-24
4843,Canada,7.392,2020-06-25
4844,Canada,9.777000000000001,2020-06-26
4845,Canada,4.5569999999999995,2020-06-27
4846,Canada,6.306,2020-06-28
4847,Canada,5.776,2020-06-29
4848,Canada,17.699,2020-06-30
4849,Canada,7.577999999999999,2020-07-01
4850,Canada,0.0,2020-07-02
4851,Canada,15.023,2020-07-03
4852,Canada,8.452,2020-07-04
4853,Canada,5.9879999999999995,2020-07-05
